year,ind2d,sale_D,cogs_D,xsga_D,kexp,theta_WI1_ct,theta_WI1_kt,theta_WI2_ct,theta_WI2_xt,theta_WI2_kt,ratio_DLEU_PF1_cap_noncap,ratio_DLEU_PF2_cap_noncap,ratio_DLEU_CS_cap_noncap,ratio_DLEU_PS_profits_go
2006,21,630508562.7698717,397538291.3227081,31445759.91700745,126734418.2142639,.73048466,.23050314,.71927744,.24791618,.16553909,.31554824,.17115404,.2954292,.11861868
2007,21,679400580.8899288,427125434.2232208,36661042.54059601,156232762.565033,.76396257,.31463385,.73671263,.38320386,.20780607,.41184458,.18555497,.33686355,.087402545
2008,21,852842475.3162498,601317604.2596416,40928741.54343414,150125529.0515985,.79291964,.32934013,.73937976,.34069073,.24259837,.41535121,.22461346,.2337507,.070904769
2009,21,599657013,418413181,39954726,156509800.7836914,.79457265,.3655681,.72263128,.35108367,.27416793,.4600814,.25534517,.34145018,-.025382334
2010,21,753107754.8336506,477131271.682209,42804288.27390289,166087208.1827167,.80645198,.41717273,.723248,.36518204,.32267311,.51729393,.29645738,.31943807,.08907754
2011,21,816668706.5995483,523856017.6928215,43401837.85150146,163009198.7664404,.80872393,.42854753,.71532929,.34528551,.35945794,.52990586,.33891469,.2873635,.10579768
2012,21,666253552.646183,403416216.4970112,47954107.30540466,187739363.5258027,.78945297,.43613157,.69662517,.3115094,.37314042,.5524478,.37012959,.415932,.040741045
2013,21,684499939.6023674,407019008.1790123,54340649.25392151,220370315.1230388,.82263505,.49996948,.7226578,.33159322,.42626941,.60776585,.40433389,.47765407,.0040467018
2014,21,709953520.0306177,435336751.882905,54097799.72698307,229270754.2104199,.83939338,.61827785,.72595674,.28923547,.57627827,.73657697,.56765437,.46844006,-.012327266
2015,21,481651091.1878448,494798834.9928932,46784875.15987396,213737860.0254929,.84319115,.60567886,.72997594,.25935775,.57502079,.71831739,.58122027,.39465341,-.56819236
2016,21,382523661.77351,266663348.3278599,39914012.8528595,200373226.954937,.89727324,.70273638,.77648598,.20026238,.66172343,.78319108,.67747587,.65358126,-.32527903
1955,22,2421262.4765625,2043386.1015625,222200.80078125,224028.796875,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.098883338,-.028230406
1956,22,1883778.7421875,1473896.85546875,153076.4462890625,193494.7814941406,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.11892929,.033608332
1957,22,2010225.59375,1572030.0546875,167037.5966796875,207964.923828125,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.11958415,.031435784
1958,22,1579411.796875,1263647.046875,154352.9423828125,206632.5825195313,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.14572115,-.028631402
1959,22,1732900.21875,1359227.265625,171201.4921875,260107.8125,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.16995747,-.033260051
1960,22,1679922.25,1303312.96875,175430.5703125,248675.5634765625,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.1681668,-.028273245
1961,22,1694023.109375,1288487.71875,187853.755859375,263823.767578125,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.17870104,-.027238196
1962,22,1870736.9375,1400313.078125,199597.455078125,289965.3427734375,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.18123847,-.010230695
1963,22,4166766.21875,3458185.421875,340924.4296875,353558.8857421875,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.093063615,.0033833147
1964,22,4878524.4375,4041775.15625,359662.4140625,361542.4443359375,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.082141899,.023684297
1965,22,5412604.03515625,4477689.5546875,375791.423828125,399106.8029785156,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.082231045,.029563636
1966,22,6033350.6484375,4994980.6796875,420274.63671875,439002.1215820313,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.081067666,.029683873
1967,22,7029017,5814414.9453125,536724.80078125,515879.55859375,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.081226297,.023046991
1968,22,8140610.839111328,6810690.830444336,596673.9299316406,630297.3881530762,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.085090637,.01264631
1969,22,8220714.40625,7031249.4375,521924.966796875,716181.0649414063,.87182814,.096982829,.80105805,.13349767,.051298946,.11124077,.054891266,.094818555,-.0059168902
1970,22,8573917.059814453,7297753.183837891,528834.7581787109,640344.6944885254,.84855837,.19762544,.78525984,.163385,.079337992,.23289552,.083632976,.081816584,.012477893
1971,22,8037999.161376953,6675497.05847168,614741.0145263672,629443.6422424316,.84890783,.11722524,.70833415,.3565098,-.35083205,.13808948,-.32946804,.086340614,.014719764
1972,22,8320446.342773438,6886397.491455078,652332.5196533203,611960.0707092285,.84573144,.096749552,.6510126,.49923897,-.27310556,.11439749,-.23743115,.081175484,.020402303
1973,22,9112064.210449219,7581017.906494141,707666.6171875,848349.2272338867,.85529512,.17188789,.6144256,.4932929,-.15108401,.2009691,-.13639206,.10235029,-.0027402726
1974,22,11836494.99072266,9865584.426025391,776247.0239257813,937592.2637023926,.85625094,.065116182,.59439135,.42305109,-.071695857,.076048009,-.070466742,.088104412,.02171853
1975,22,10681918.38818359,8467945.40234375,785424.0339355469,658709.7969799042,.86570847,.18858628,.64121366,.44352692,.093358248,.2178404,.086065046,.071185939,.072069369
1976,22,11039599.828125,8687049.581542969,832123.14453125,919633.2630615234,.8586911,.17584896,.65305036,.44561598,.0020020802,.20478722,.0018222823,.096608527,.054421704
1977,22,10918188.74316406,8711114.286621094,842078.7838134766,914243.609161377,.85483295,.19382365,.69002295,.30813855,.071996219,.22673863,.072128832,.095700316,.041284509
1978,22,11537728.40844727,9232997.467529297,889165.9052124023,1056721.924316406,.84875017,.21812065,.70229995,.45775741,.011194514,.2569904,.0096499659,.10439684,.031101713
1979,22,12981281.50732422,10464166.53100586,961667.7421875,1214569.832611084,.83232027,.32676849,.66675615,.54523563,.073208041,.39259946,.060403083,.10630032,.026259148
1980,22,12588244.76812744,10066303.40179443,1013193.508056641,1374404.657577515,.82970136,.37342682,.65467441,.38406059,.18322492,.45007378,.17639236,.12404937,.010672116
1981,22,11492863.02441406,9307637.790283203,932927.3466796875,1578403.758972168,.84990448,.35274988,.72517526,.25284392,.24048509,.41504651,.24588995,.15413249,-.028374642
1982,22,10533739.53955078,8449963.426269531,978049.7091674805,1532425.27784729,.85362941,.47338918,.72255176,.078335255,.44627213,.55456054,.55722231,.16253957,-.040507823
1983,22,9125480.711120605,7371096.49609375,929721.3728027344,1228968.246582031,.87295055,.51733154,.67696691,.20800041,.51299709,.59262413,.57967913,.14805387,-.044305108
1984,22,10399996.27502441,8366508.49609375,962664.3324584961,1431776.89239502,.87200701,.48289698,.69087958,.15603262,.43269458,.5537765,.51090842,.15347308,-.034707073
1985,22,6997908.746337891,5505478.998786926,754137.2462463379,1049073.025888443,.85864842,-.12257543,.72460669,.51216626,-.26077032,-.14275393,-.21084736,.16759382,-.044410486
1986,22,5046770.939712524,3888782.781555176,510295.7404937744,845833.2057952881,.84058732,-.048356161,.69247651,.63633287,-.17618297,-.057526637,-.13258709,.19227509,-.039260905
