year,ind2d,sale_D,cogs_D,xsga_D,kexp,theta_WI1_ct,theta_WI1_kt,theta_WI2_ct,theta_WI2_xt,theta_WI2_kt,ratio_DLEU_PF1_cap_noncap,ratio_DLEU_PF2_cap_noncap,ratio_DLEU_CS_cap_noncap,ratio_DLEU_PS_profits_go
2015,11,22222045.89550781,12005607.2673111,4451221.555419922,1865440.46105957,.91110194,.15865943,.74963319,-.11112063,.29692101,.17414016,.46501985,.11335358,.17549133
2016,11,18200640.93159485,10206865.84051895,4227415.380126953,1511107.622070313,.93373585,-.16446111,.79557955,-.15524958,-.065631852,-.17613237,-.10249692,.1046888,.12391058
1955,21,30455715.02148438,20636907.66699219,3045057.307617188,4654811.748291016,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.19655514,.069574408
1956,21,33560596.07226563,22628464.68652344,3528216.1953125,4625319.457763672,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.17683129,.0827934
1957,21,33756391.078125,23263819.13183594,3879278.219970703,5273309.850341797,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.19427812,.03969571
1958,21,30218235.12695313,21185529.57519531,3632411.766685486,5170274.439453125,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.2083281,.0076119383
1959,21,42314788.61328125,29110112.63183594,4859198.403808594,8714701.30078125,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.25654632,-.0087256422
1960,21,44103349.04101563,30386789.45214844,5494101.01902771,9215291.066162109,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.25683007,-.022511499
1961,21,44997766.21484375,31139609.83300781,5451879.398681641,8988564.596191406,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.24564631,-.012940367
1962,21,47844968.59082031,33073387.51464844,5994996.14730835,10025297.82446289,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.25660896,-.026099147
1963,21,52197048.70898438,36257709.85009766,6217056.41015625,11042699.27001953,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.25998259,-.025296772
1964,21,57365146.47900391,40264340.53210449,6424160.220134735,11673759.84033203,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.25003502,-.01738188
1965,21,65838820.72021484,45484191.16259766,7423860.674575806,13383089.0390625,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.25294995,-.0068701133
1966,21,75921721.9609375,53001165.79003906,8069504.91784668,14489337.99694824,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.23725526,.0047642919
1967,21,81380703.34277344,56605120.26171875,9173864.19921875,14820297.77502441,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.22530445,.0096020438
1968,21,93044896.56933594,65336120.79541016,10403010.93769836,17213747.63908386,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.2272768,.00098895479
1969,21,102974806.4160156,71648599.71142578,11239432.55987549,20887644.27436829,.80800563,.18564764,.70504242,.10679019,.18099305,.22976032,.2229438,.25199831,-.0077773402
1970,21,104500057.2666016,73318250.19042969,12045495.05358887,19470163.93054199,.81132913,.20046084,.69872892,.16196524,.19313985,.24707709,.2244001,.2280847,-.0031947533
1971,21,107700060.8571777,76732521.46411133,12078303.83349609,16100380.59411621,.8202005,.21583378,.70848572,.13115174,.19596428,.26314759,.23339154,.1812885,.025894646
1972,21,110639909.1337891,79180612.10321045,12433544.43597412,17244967.27954865,.81349921,.062694132,.70411438,.17989181,.062425852,.077067234,.070616983,.18823475,.016095325
1973,21,128966650.4775391,92730327.91339111,12756237.39654541,22281013.55496216,.79748857,.07147333,.68616253,.18851949,.069878839,.089623012,.079890564,.21122134,.009297532
1974,21,181908489.1955414,134811070.1595917,13486062.93510437,20146755.8971405,.78405058,.072012946,.66880381,.19555633,.073883779,.091847323,.085478,.13585398,.074018538
1975,21,179700057.5166626,134192987.1725769,13735355.2393837,13202824.29668045,.77239716,.084366836,.64399827,.19034873,.093182713,.10922727,.11168341,.089251488,.10333269
1976,21,188029372.2909546,138160539.6758881,13838520.73172379,18467414.35889816,.75934631,.10642879,.62199932,.2167792,.1124837,.14015843,.13410418,.1214969,.093405075
1977,21,197592380.1157532,144706061.6344452,14197572.04981995,19822686.67882919,.73890156,.21731445,.59361124,.21021494,.20465979,.29410475,.25460702,.12474659,.09547969
